ITEM CCODE,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,unit of measure
CEX-BOR-EAC,14003.0,Bar One Round,42,internal,ea
CEX-BOS-EAC,4008.0,Bar One Slice,42,internal,ea
CEX-BRC-EAC,14028.0,Baked Red Velvet Cheese Cake,42,internal,ea
CEX-BVC-EAC,,Baked Vanilla Cheese Cake,42,internal,ea
CEX-CAC-012,,BD 12 Carrot Cake square wit cream cheese,43,internal,ea
CEX-CAC-014,,BD 14' Carrot cake square with cream cheese,43,internal,ea
CEX-CAC-016,,BD 16' Carrot Cake Square with cream cheese,42,internal,ea
CEX-CAC-018,,BD 18 Carrot Cake Square with cream cheese,42,internal,ea
CEX-CAC-020,,BD 20 Carrot Cake Square with cream cheese,43,internal,ea
CEX-CAC-EAC,,Carrot Cake Cupcake,42,internal,ea
CEX-CBD-EAC,,Chocolate Bar One 6 Layer Drip Cake,42,internal,ea
CEX-CBO-EAC,14006.0,Christmas Bar One Round,42,internal,ea
CEX-CCC-EAC,14033.0,Baked Choclate Cheese Cake,42,internal,ea
CEX-CCP-6S,140295.0,Chocolate Cake Pops (6s),42,internal,ea
CEX-CCS-EAC,14007.0,Cheese Cake Slice,42,internal,ea
CEX-CCT-EAC,14008.0,Cheese Cake Tart,42,internal,ea
CEX-CEG-EAC,14035.0,Caramel Exotic Gateaux,42,internal,ea
CEX-CFD-EAC,,Chocolate Fererro 6 Layer Drip Cake,42,internal,ea
CEX-CFE-EAC,14010.0,Christmas Ferrero Cake,42,internal,ea
CEX-CHC-EAC,14036.0,Chocolate Cheese Cake Cup,43,internal,ea
CEX-CIC-EAC,14037.0,Citrus Cheese Cake Cup,42,internal,ea
CEX-CRM-EAC,14199.0,Moist Choc Cake With Cream Cheese,42,internal,ea
CEX-CUS-EAC,14042.0,Custard & Jelly,42,internal,ea
CEX-DCV-EAC,14044.0,Decorative Chocolate Vanilla Gateaux,42,internal,ea
CEX-EBC-EACH,,Bar One Cupcake Eggless,42,internal,ea
CEX-FEM-EAC,14045.0,Mothers Day Ferrero Round with rose and leaves,42,internal,ea
CEX-FER-012,10075.0,BD Ferrero Cake 12,42,internal,ea
CEX-FER-014,10076.0,BD Ferrero Cake 14,42,internal,ea
CEX-FER-016,10077.0,BD Ferrero Cake 16,42,internal,ea
CEX-FER-018,,BD Ferrero Cake 18,42,internal,ea
CEX-FER-020,,BD Ferrero Cake 20,43,internal,ea
CEX-FRC-EAC,14012.0,Ferrero Rocher Cake,42,internal,ea
CEX-FRT-EAC,14013.0,Ferrero,24,external,ea
CEX-GCA-EAC,,Giant Cappuchino Muffin,43,internal,ea
CEX-GCC-EAC,,Giant Corn & Chives Muffin,43,internal,ea
CEX-GCH-EAC,,Giant Choc Muffin,42,internal,ea
CEX-GCM-EAC,,Giant Chicken & Mushroom Muffin,43,internal,ea
CEX-GIM-EAC,14046.0,Giant Muffins,42,internal,ea
CEX-GLP-EAC,,Giant Lemon Poppy& Nuts,42,internal,ea
CEX-GPC-EAC,,Giant Pecan & Carrot Muffin,43,internal,ea
CEX-GSF-EAC,,Giant Spinach & Feta Muffin,42,internal,ea
CEX-GVA-EAC,,Giant Vanilla Muffins,42,internal,ea
CEX-LMS-EAC,,Lemon Meringue Tart Small,43,internal,ea
CEX-LMT-EAC,,Lemon Meringue Tart Large,42,internal,ea
CEX-MAC-EAC,14047.0,Macaroons (4s),42,internal,ea
CEX-MAL-EAC,14048.0,Malva Pudding,43,internal,ea
CEX-MAO-EAC,,Macaroons (1s),43,internal,ea
CEX-MBE-EAC,14049.0,Milky Bar Exotic,42,internal,ea
CEX-MBS-EAC,,Bar One Swissroll Slice,42,internal,ea
CEX-MCL-EACH,,Moist Chocolate Cake Large With Cream Cheese,43,internal,ea
CEX-MDF-EAC,,Freshcream 6 Layer Drip Cake with Toppings,23,internal,ea
CEX-MIL-12,,BD Milky Bar 12'',43,internal,ea
CEX-MIL-14,,BD Milky Bar 14'',42,internal,ea
CEX-MIL-EAC,,Milky Bar Swissroll Slice,42,internal,ea
CEX-MPN-EAC,,Mini Pecan Nut Tart,42,internal,ea
CEX-MPT-EAC,,Malva Pudding Tartlet,42,internal,ea
CEX-MRC-EAC,,Cream Cheese Rainbow Cake,42,internal,ea
CEX-MRS-EAC,,Cream Cheese Rainbow Slice,42,internal,ea
CEX-MVC-EAC,14092.0,Moist Vanilla Cake with Caramel Drizzle,42,internal,ea
CEX-NBC-EAC,,New York Baked Blueberry Cheesecake Round,42,internal,ea
CEX-NRV-EAC,14057.0,New Red Velvet Cake,43,internal,ea
CEX-NUT-12,,12'' Nibbed Nuts Only,44,internal,ea
CEX-NUT-14,,14'' Nibbed Nuts Only,45,internal,ea
CEX-NUT-16,,16'' Nibbed Nuts Only,44,internal,ea
CEX-NUT-18,,18'' Nibbed Nuts Only,43,internal,ea
CEX-NUT-20,,20'' Nibbed Nuts Only,44,internal,ea
CEX-NUT-22,,22'' Nibbed Nuts Only,44,internal,ea
CEX-NYC-EAC,,New York Baked Cheese Cake Slice,42,internal,ea
CEX-PCT-4S,,Portuguese Custard Tart (4S),43,external,ea
CEX-PCT-EAC,,Portuguese Custard Tart,43,external,ea
CEX-PEA-12,,12'' Peaches Slices Only,44,internal,ea
CEX-PEA-14,,14'' Peaches Slices Only,45,internal,ea
CEX-PEA-16,,16'' Peaches Slices Only,45,internal,ea
CEX-PEA-18,,18'' Peaches Slices Only,44,internal,ea
CEX-PEA-20,,20'' Peaches Slices Only,44,internal,ea
CEX-PEA-22,,22'' Peaches Slices Only,45,internal,ea
CEX-PET-EACH,,Pecan Nut Tartlet,42,internal,ea
CEX-PMC-EACH,14014.0,Peppermint Crisp Cake,43,internal,ea
CEX-PNT-EAC,14016.0,Pecan Nut Tart,42,internal,ea
CEX-RCC-EAC,14058.0,CARROT CAKE ROUND,42,internal,ea
CEX-REC-EAC,14038.0,Redvelvet Cheese Cake Cup,42,internal,ea
CEX-RED-016,30778.0,BD 16 Red Velvet Square,42,internal,ea
CEX-RMC-EAC,14059.0,OREO CAKE,42,internal,ea
CEX-RSW-EAC,14060.0,Red velvet Swissroll,42,internal,ea
CEX-RTR-14,,BC 14'' Round Triple Layer Rose Pattern,17,internal,ea
CEX-RTR-16,,BC 16'' Round Triple Layer Rose Pattern,17,internal,ea
CEX-RTR-18,,BC 18'' Round Triple Layer Rose Pattern,17,internal,ea
CEX-RTR-20,,BC 20'' Round Triple Layer Rose Pattern,17,internal,ea
CEX-RVB-018,,BD 18 Red Velvet Square,42,internal,ea
CEX-RVB-020,,BD 20 Red Velvet Square,42,internal,ea
CEX-RVC-EAC,14017.0,Red Velvet Cupcakes,42,internal,ea
CEX-RVG-EAC,30776.0,Red Velvet Gateaux,42,internal,ea
CEX-RVL-EAC,14019.0,Red Velvet Log,42,internal,ea
CEX-RVS-EAC,14020.0,Red Velvet Slice,42,internal,ea
CEX-TID-EAC,,Tirumisu Dessert,42,internal,ea
CEX-TIR-EAC,14021.0,Cake Tiramisu,42,internal,ea
CEX-TIS-EAC,14022.0,tirumisu slice,42,internal,ea
CEX-TRE-EAC,,Truffles Eggless 6s,42,internal,ea
CEX-TRF-EAC,14062.0,Truffles (1)s,42,internal,ea
