TABLE_NAME COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
ChartOfAccounts SupplierID int NULL YES
ChartOfAccounts CustomerID int NULL YES
ChartOfAccounts TenantID int NULL YES
ChartOfAccounts LandlordID int NULL YES
ChartOfAccounts Description nvarchar 500 YES
ChartOfAccounts TaxCode nvarchar 20 YES
ChartOfAccounts CurrencyCode nvarchar 10 YES
ChartOfAccounts CreatedBy int NULL YES
ChartOfAccounts CreatedDate datetime NULL YES
ChartOfAccounts ModifiedBy int NULL YES
ChartOfAccounts ModifiedDate datetime NULL YES
ChartOfAccounts ControlAccountID int NULL YES
CustomerLedger LedgerID bigint NULL NO
CustomerLedger CustomerID int NULL NO
CustomerLedger CustomerName nvarchar 200 NO
CustomerLedger AccountNumber nvarchar 50 NO
CustomerLedger TransactionDate datetime NULL NO
CustomerLedger TransactionType nvarchar 50 NO
CustomerLedger ReferenceNumber nvarchar 100 NO
CustomerLedger Description nvarchar 500 NO
CustomerLedger DebitAmount decimal NULL NO
CustomerLedger CreditAmount decimal NULL NO
CustomerLedger RunningBalance decimal NULL NO
CustomerLedger BranchID int NULL NO
CustomerLedger CreatedBy nvarchar 100 NO
CustomerLedger CreatedDate datetime NULL NO
FNB_APICredentials CredentialID int NULL NO
FNB_APICredentials Environment nvarchar 20 NO
FNB_APICredentials ClientID nvarchar 50 NO
FNB_APICredentials ClientSecret nvarchar 200 NO
FNB_APICredentials BaseURL nvarchar 200 NO
FNB_APICredentials TokenURL nvarchar 200 NO
FNB_APICredentials DebtorAccountNumber nvarchar 23 YES
FNB_APICredentials DebtorBranchID nvarchar 10 YES
FNB_APICredentials IsActive bit NULL YES
FNB_APICredentials IsSandbox bit NULL YES
FNB_APICredentials CreatedDate datetime NULL YES
FNB_APICredentials ModifiedDate datetime NULL YES
FNB_APICredentials Notes nvarchar -1 YES
GeneralJournal JournalID int NULL NO
GeneralJournal TransactionDate datetime NULL NO
GeneralJournal JournalType nvarchar 50 YES
GeneralJournal Reference nvarchar 100 YES
GeneralJournal LedgerID int NULL YES
GeneralJournal AccountCode nvarchar 20 YES
GeneralJournal AccountName nvarchar 200 YES
GeneralJournal Debit decimal NULL YES
GeneralJournal Credit decimal NULL YES
GeneralJournal Description nvarchar 500 YES
GeneralJournal BranchID int NULL YES
GeneralJournal CreatedBy nvarchar 100 YES
GeneralJournal CreatedDate datetime NULL NO
GeneralLedger EntryID bigint NULL NO
GeneralLedger JournalEntryNumber nvarchar 50 NO
GeneralLedger TransactionDate datetime NULL NO
GeneralLedger AccountID int NULL NO
GeneralLedger DebitAmount decimal NULL NO
GeneralLedger CreditAmount decimal NULL NO
GeneralLedger Description nvarchar 500 NO
GeneralLedger ReferenceType nvarchar 50 YES
GeneralLedger ReferenceID nvarchar 100 YES
GeneralLedger BranchID int NULL YES
GeneralLedger CustomerID int NULL YES
GeneralLedger CreatedBy nvarchar 100 NO
GeneralLedger CreatedDate datetime NULL NO
GeneralLedger IsReversed bit NULL NO
GeneralLedger ReversalEntryID bigint NULL YES
GLAccountMappings MappingID int NULL NO
GLAccountMappings MappingKey varchar 50 NO
GLAccountMappings AccountID int NULL YES
GLAccountMappings BranchID int NULL YES
GLAccountMappings ModifiedDate datetime NULL NO
GLAccountMappings ModifiedBy int NULL YES
InterBranchLedger LedgerID int NULL NO
InterBranchLedger DebtorBranchID int NULL NO
InterBranchLedger CreditorBranchID int NULL NO
InterBranchLedger DeliveryNoteID int NULL NO
InterBranchLedger Amount decimal NULL NO
InterBranchLedger TransactionDate datetime NULL NO
InterBranchLedger Status nvarchar 20 NO
InterBranchLedger SettlementDate datetime NULL YES
InterBranchLedger SettlementReference nvarchar 100 YES
InterBranchLedger Notes nvarchar 500 YES
InterBranchLedger CreatedBy int NULL NO
InterBranchLedger CreatedDate datetime NULL NO
InvoiceLines InvoiceLineID int NULL NO
InvoiceLines InvoiceID int NULL NO
InvoiceLines POLineID int NULL YES
InvoiceLines MaterialID int NULL YES
InvoiceLines ReceiveNow decimal NULL NO
InvoiceLines UnitCost decimal NULL NO
Invoices InvoiceLineID int NULL NO
Invoices InvoiceNumber nvarchar 50 NO
Invoices SalesID int NULL NO
Invoices BranchID int NULL NO
Invoices ProductID int NULL NO
Invoices ItemCode nvarchar 50 NO
Invoices ProductName nvarchar 200 NO
Invoices Quantity decimal NULL NO
Invoices UnitPrice decimal NULL NO
Invoices LineTotal decimal NULL NO
Invoices SaleDate datetime NULL NO
Invoices CashierID int NULL NO
Invoices CreatedDate datetime NULL YES
Invoices UnitCost decimal NULL YES
Invoices LineCost decimal NULL YES
JournalDetails JournalDetailID int NULL NO
JournalDetails JournalID int NULL NO
JournalDetails LineNumber int NULL NO
JournalDetails AccountID int NULL NO
JournalDetails Debit decimal NULL YES
JournalDetails Credit decimal NULL YES
JournalDetails Description nvarchar 255 YES
JournalDetails Reference1 nvarchar 50 YES
JournalDetails Reference2 nvarchar 50 YES
JournalDetails CostCenterID int NULL YES
JournalDetails ProjectID int NULL YES
JournalEntries JournalID int NULL NO
JournalEntries BranchID int NULL NO
JournalEntries AccountType nvarchar 100 NO
JournalEntries LedgerCode nvarchar 50 NO
