Item Code,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,Ingredients,Item Description,Whse,Cost,Incl Price,
CEX-MPT-EAC,0,Malva Pudding Tartlet,exotic cakes,internal,,Malva Pudding Tartlet,OD200,0.00,16.00,
CEX-MRC-EAC,0,Cream Cheese Rainbow Cake,exotic cakes,internal,,Cream Cheese Rainbow Cake,OD200,0.00,350.00,
CEX-MRS-EAC,0,Cream Cheese Rainbow Slice,exotic cakes,internal,,Cream Cheese Rainbow Slice,OD200,0.00,43.00,
CEX-MVC-EAC,14092,Moist Vanilla Cake with Caramel Drizzle,exotic cakes,internal,,Moist Vanilla Cake with Caramel Drizzle,OD200,0.00,75.00,
CEX-NBC-EAC,0,New York Baked Blueberry Cheesecake Round,exotic cakes,internal,,New York Baked Blueberry Cheesecake Round,OD200,0.00,340.00,
CEX-NUT-12,0,12'' Nibbed Nuts Only,miscellenous,internal,,12'' Nibbed Nuts Only,OD200,0.00,80.00,
CEX-NUT-14,0,14'' Nibbed Nuts Only,miscellaneous,internal,,14'' Nibbed Nuts Only,OD200,0.00,80.00,
CEX-NUT-16,0,16'' Nibbed Nuts Only,miscellenous,internal,,16'' Nibbed Nuts Only,OD200,0.00,120.00,
CEX-NUT-18,0,18'' Nibbed Nuts Only,exotic,internal,,18'' Nibbed Nuts Only,OD200,0.00,120.00,
CEX-NUT-20,0,20'' Nibbed Nuts Only,miscellenous,internal,,20'' Nibbed Nuts Only,OD200,0.00,180.00,
CEX-NUT-22,0,22'' Nibbed Nuts Only,miscellenous,internal,,22'' Nibbed Nuts Only,OD200,0.00,180.00,
CEX-NYC-EAC,0,New York Baked Cheese Cake Slice,exotic cakes,internal,,New York Baked Cheese Cake Slice,OD200,0.00,48.00,
