Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Treatment,Branch
0,OD400,,Jam Puff,buttercream cake,internal,11037,Jam Puff,,CBC-JAP-EAC,17,,OD400 - Umhlanga
0,OD400,,Jam Doughnut,buttercream cake,internal,11019,Jam Doughnut,,CBC-JDN-EAC,15,,OD400 - Umhlanga
0,OD400,,Jam Turnover,buttercream cake,internal,11039,Jam Turnover,,CBC-JTO-EAC,18,,OD400 - Umhlanga
0,OD400,,Koeksuster 1s,buttercream cake,internal,11020,Koeksuster 1s,,CBC-KOE-EAC,18,,OD400 - Umhlanga
0,OD400,,Choc Lamington Plain,buttercream cake,internal,11009,Choc Lamington Plain,,CBC-LPC-EAC,18,,OD400 - Umhlanga
0,OD400,,Raspberry Lamington Plain,buttercream cake,internal,11010,Raspberry Lamington Plain,,CBC-LPR-EAC,18,,OD400 - Umhlanga
0,OD400,,Raspberry Lamington Plain,buttercream cake,internal,11010,Raspberry Lamington Plain,,CBC-LPR-EAC,18,,OD400 - Umhlanga
0,OD400,,Mini Buttercream D/N,buttercream,internal,11043,Mini Buttercream D/N,,CBC-MBD-EAC,12,,OD400 - Umhlanga
0,OD400,,Mothers Day Buttercream Gateaux,buttercream cake,internal,11098,Mothers Day Buttercream Gateaux,,CBC-MBG-EAC,140,,OD400 - Umhlanga
0,OD400,,Mini Chocolate D/N,buttercream cake,internal,11044,Mini Chocolate D/N,,CBC-MCD-EAC,13,,OD400 - Umhlanga
0,OD400,,Mini Lamington Chocolate Plain,shop front,internal,0,Mini Lamington Chocolate Plain,,CBC-MCL-EAC,13,,OD400 - Umhlanga
0,OD400,,Melting Moments 40g (Round),sweet,external,11021,Melting Moments 40g (Round),,CBC-MEL-40G,15,,OD400 - Umhlanga
0,OD400,,Melting Moments 60g (Long),buttercream cake,internal,11023,Melting Moments 60g (Long),,CBC-MEL-60G,18,,OD400 - Umhlanga
0,OD400,,Mini F/BITS,buttercream cake,internal,11045,Mini F/BITS,,CBC-MFL-EAC,13,,OD400 - Umhlanga
0,OD400,,Mini Lamington Raspberry Plain,buttercream cake,internal,0,Mini Lamington Raspberry Plain,,CBC-MRL-EAC,13,,OD400 - Umhlanga
0,OD400,,Mini S/B,buttercream cake,internal,11046,Mini S/B,,CBC-MSB-EACH,13,,OD400 - Umhlanga
0,OD400,,Muesli Slice,buttercream cake,internal,11007,Muesli Slice,,CBC-MUE-EAC,18,,OD400 - Umhlanga
0,OD400,,BD Picture Cup Cakes,buttercream cakes,internal,30338,BD Picture Cup Cakes,,CBC-PCC-EAC,24,,OD400 - Umhlanga
0,OD400,,Queen Cakes 1s,buttercream cake,internal,11011,Queen Cakes 1s,,CBC-QUC-EAC,12,,OD400 - Umhlanga
0,OD400,,Snowballs 1s,buttercream cake,internal,11013,Snowballs 1s,,CBC-SNO-EAC,18,,OD400 - Umhlanga
0,OD400,,BD Buttercream Figure 18,buttercream figure cake,internal,10088,BD Buttercream Figure 18,,CBF-BCF-018,850,,OD400 - Umhlanga
