TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
CFC-MFD-EAC;;Mini FC D/N;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-MFE-EAC;;Mini Freshcream Eclairs;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-MFG-EAC;12033;Mothers Day FC Choc Gateaux with rose and leaves;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-MMT-EAC;;Mini Milk Tart;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-MTA-EAC;12028;Milk Tart Large;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-MTL-EAC;12029;Milk Tartlet;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-NOB-EAC;12032;No Bake Cake;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-SEF-EAC;30670;Eggless Small Freshcream Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FRU-010;10079;BD Fruit Cake 10;fruit cake;Fruitcake;internal;ea;pos
CFC-FRU-012;10080;BDFruit Cake 12;fruit cake;Fruitcake;internal;ea;pos
CFC-FRU-014;10081;BD Fruit Cake 14;fruit cake;Fruitcake;internal;ea;pos
CFC-FRU-016;10082;BD Fruit Cake 16;fruit cake;Fruitcake;internal;ea;pos
CFC-FRU-EAU;;Fruit Cake Pieces Unwrapped;fruit cake;Fruitcake;internal;ea;pos
CFC-FRU-EAW;;Fruit Cake Pieces Wrapped;fruit cake;Fruitcake;internal;ea;pos
CFR-CFR-012;30340;BD Round Fruitcake 12;fruit cake;Fruitcake;internal;ea;pos
CFR-CFR-012;30340;BD Round Fruitcake 12;fruit cake;Fruitcake;internal;ea;pos
CFR-CFR-014;30363;BD Round Fruitcake 14;fruit cake;Fruitcake;internal;ea;pos
CFR-CFR-016;30364;BD Round Fruitcake 16;fruit cake;Fruitcake;internal;ea;pos
CFR-CFR-016;30364;BD Round Fruitcake 16;fruit cake;Fruitcake;internal;ea;pos
CEX-NUT-12;;12'' Nibbed Nuts Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-NUT-14;;14'' Nibbed Nuts Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-NUT-16;;16'' Nibbed Nuts Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-NUT-20;;20'' Nibbed Nuts Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-NUT-22;;22'' Nibbed Nuts Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-PEA-12;;12'' Peaches Slices Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-PEA-14;;14'' Peaches Slices Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-PEA-16;;16'' Peaches Slices Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-PEA-18;;18'' Peaches Slices Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-PEA-20;;20'' Peaches Slices Only;miscellaneous;miscellaneous;internal;ea;pos
CEX-PEA-22;;22'' Peaches Slices Only;miscellaneous;miscellaneous;internal;ea;pos
MIS - CCB-12;;Colour Cream - 12'';miscellaneous;miscellaneous;internal;ea;pos
MIS - SCB-KGR;;Solid Colour Buttercream;miscellaneous;miscellaneous;internal;ea;pos
MIS- CCB-14;;Colour Cream - 14'';miscellaneous;miscellaneous;internal;ea;pos
MIS- FIT-EAC;;Happy Anniversary Cake Topper;miscellaneous;miscellaneous;external;ea;pos
MIS- FON-EAC;;Fondant Writing;miscellaneous;miscellaneous;internal;ea;pos
MIS-ACC-EAC;;Plastic Icing Baby Accessory Set;miscellaneous;miscellaneous;external;ea;pos
